college_name
Ekwendeni
Holy Family
Kamuzu College of Nursing
Malamulo
MCHS Blantyre Campus
MCHS Lilongwe Campus
MCHS Zomba Campus
Mulanje Mission
Mzuzu University
Nkhoma
St John of God
St John's
St Joseph's
St Luke's
Trinity
